Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.8518e+01,-0.648,-0.64,-18.4,-18.2
-1.8510e+01,-0.648,-0.664,-18.4,-18.6
-1.8502e+01,-0.648,-0.64,-18.4,-18.2
-1.8495e+01,-0.648,-0.656,-18.4,-18.6
-1.8487e+01,-0.648,-0.64,-18.4,-18.2
-1.8479e+01,-0.648,-0.656,-18.4,-18.6
-1.8472e+01,-0.648,-0.64,-18.4,-18.2
-1.8464e+01,-0.648,-0.656,-18.4,-18.8
-1.8456e+01,-0.64,-0.632,-18.4,-18.2
-1.8449e+01,-0.64,-0.656,-18.4,-18.8
-1.8441e+01,-0.64,-0.632,-18.6,-18.2
-1.8433e+01,-0.64,-0.656,-18.6,-18.8
-1.8425e+01,-0.64,-0.624,-18.6,-18.2
-1.8418e+01,-0.64,-0.656,-18.6,-18.8
-1.8410e+01,-0.64,-0.624,-18.6,-18.2
-1.8402e+01,-0.64,-0.648,-18.6,-18.8
-1.8395e+01,-0.64,-0.624,-18.6,-18.4
-1.8387e+01,-0.64,-0.648,-18.6,-18.8
-1.8379e+01,-0.64,-0.624,-18.6,-18.4
-1.8372e+01,-0.64,-0.648,-18.6,-18.8
-1.8364e+01,-0.64,-0.624,-18.6,-18.4
-1.8356e+01,-0.632,-0.648,-18.6,-18.8
-1.8349e+01,-0.632,-0.624,-18.6,-18.4
-1.8341e+01,-0.632,-0.64,-18.6,-18.8
-1.8333e+01,-0.632,-0.624,-18.6,-18.4
-1.8326e+01,-0.632,-0.64,-18.6,-18.8
-1.8318e+01,-0.632,-0.624,-18.6,-18.4
-1.8310e+01,-0.632,-0.64,-18.6,-18.8
-1.8303e+01,-0.632,-0.624,-18.6,-18.4
-1.8295e+01,-0.632,-0.64,-18.6,-18.8
-1.8287e+01,-0.632,-0.624,-18.6,-18.4
-1.8280e+01,-0.632,-0.64,-18.6,-18.8
-1.8272e+01,-0.632,-0.616,-18.6,-18.4
-1.8264e+01,-0.632,-0.64,-18.6,-18.8
-1.8257e+01,-0.624,-0.616,-18.6,-18.4
-1.8249e+01,-0.624,-0.64,-18.6,-18.8
-1.8241e+01,-0.624,-0.616,-18.6,-18.4
-1.8233e+01,-0.624,-0.64,-18.6,-18.8
-1.8226e+01,-0.624,-0.616,-18.6,-18.4
-1.8218e+01,-0.624,-0.64,-18.6,-18.8
-1.8210e+01,-0.624,-0.616,-18.6,-18.4
-1.8203e+01,-0.624,-0.632,-18.6,-18.8
-1.8195e+01,-0.624,-0.616,-18.6,-18.4
-1.8187e+01,-0.624,-0.632,-18.6,-18.8
-1.8180e+01,-0.624,-0.616,-18.6,-18.4
-1.8172e+01,-0.624,-0.632,-18.6,-18.8
-1.8164e+01,-0.624,-0.616,-18.6,-18.4
-1.8157e+01,-0.624,-0.632,-18.6,-18.8
-1.8149e+01,-0.624,-0.608,-18.6,-18.4
-1.8141e+01,-0.624,-0.632,-18.6,-18.8
