Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.84E+01,-0.576,-0.568,-8.8,-8.6
-1.84E+01,-0.576,-0.584,-8.8,-9
-1.84E+01,-0.576,-0.56,-8.8,-8.6
-1.84E+01,-0.576,-0.584,-8.8,-9
-1.84E+01,-0.576,-0.56,-8.8,-8.6
-1.84E+01,-0.576,-0.584,-8.8,-9
-1.84E+01,-0.576,-0.568,-8.8,-8.6
-1.84E+01,-0.576,-0.584,-8.8,-9
-1.84E+01,-0.576,-0.56,-8.8,-8.6
-1.84E+01,-0.576,-0.584,-8.8,-9
-1.84E+01,-0.576,-0.56,-8.8,-8.6
-1.84E+01,-0.576,-0.584,-8.8,-9
-1.83E+01,-0.576,-0.56,-8.8,-8.6
-1.83E+01,-0.576,-0.584,-8.8,-9.2
-1.83E+01,-0.576,-0.56,-8.8,-8.6
-1.83E+01,-0.576,-0.584,-8.8,-9.2
-1.83E+01,-0.576,-0.56,-8.8,-8.6
-1.83E+01,-0.576,-0.584,-8.8,-9.2
-1.83E+01,-0.576,-0.56,-8.8,-8.6
-1.83E+01,-0.576,-0.584,-8.8,-9.2
-1.83E+01,-0.576,-0.56,-9,-8.6
-1.83E+01,-0.576,-0.584,-9,-9.2
-1.83E+01,-0.576,-0.56,-9,-8.6
-1.83E+01,-0.576,-0.584,-9,-9.2
-1.83E+01,-0.576,-0.56,-9,-8.6
-1.82E+01,-0.576,-0.584,-9,-9.2
-1.82E+01,-0.576,-0.568,-9,-8.6
-1.82E+01,-0.576,-0.584,-9,-9.2
-1.82E+01,-0.576,-0.56,-9,-8.6
-1.82E+01,-0.576,-0.584,-9,-9.2
-1.82E+01,-0.576,-0.56,-9,-8.6
-1.82E+01,-0.576,-0.584,-9,-9.2
-1.82E+01,-0.576,-0.56,-9,-8.8
-1.82E+01,-0.576,-0.584,-9,-9.2
-1.82E+01,-0.576,-0.56,-9,-8.8
-1.82E+01,-0.576,-0.584,-9,-9.2
-1.82E+01,-0.576,-0.56,-9,-8.8
-1.82E+01,-0.576,-0.584,-9,-9.2
-1.81E+01,-0.576,-0.56,-9,-8.8
-1.81E+01,-0.576,-0.584,-9,-9.2
-1.81E+01,-0.576,-0.56,-9,-8.8
-1.81E+01,-0.576,-0.584,-9,-9.2
-1.81E+01,-0.576,-0.56,-9,-8.8
-1.81E+01,-0.576,-0.584,-9,-9.2
-1.81E+01,-0.576,-0.568,-9,-8.8
-1.81E+01,-0.576,-0.584,-9,-9.2
-1.81E+01,-0.576,-0.568,-9,-8.8
-1.81E+01,-0.576,-0.584,-9,-9.2
-1.81E+01,-0.576,-0.56,-9,-8.8
-1.81E+01,-0.576,-0.584,-9,-9.2
-1.81E+01,-0.576,-0.56,-9,-8.8
-1.80E+01,-0.576,-0.584,-9,-9.2
-1.80E+01,-0.576,-0.56,-9,-8.8
-1.80E+01,-0.576,-0.584,-9,-9.2
-1.80E+01,-0.576,-0.56,-9,-8.8
-1.80E+01,-0.576,-0.584,-9,-9.2
-1.80E+01,-0.576,-0.56,-9,-8.8
-1.80E+01,-0.576,-0.584,-9,-9.2
-1.80E+01,-0.576,-0.56,-9,-8.8
-1.80E+01,-0.576,-0.584,-9,-9.2
-1.80E+01,-0.576,-0.56,-9,-8.8
-1.80E+01,-0.576,-0.584,-9,-9.2
-1.80E+01,-0.576,-0.568,-9,-8.8
-1.80E+01,-0.576,-0.584,-9,-9.2
-1.79E+01,-0.576,-0.56,-9,-8.8
-1.79E+01,-0.576,-0.584,-9,-9.2
-1.79E+01,-0.576,-0.568,-9,-8.8
-1.79E+01,-0.576,-0.584,-9,-9.2
-1.79E+01,-0.576,-0.56,-9,-8.8
-1.79E+01,-0.576,-0.584,-9,-9.2
-1.79E+01,-0.576,-0.568,-9,-8.8
-1.79E+01,-0.576,-0.584,-9,-9.4
-1.79E+01,-0.576,-0.56,-9,-8.8
-1.79E+01,-0.576,-0.584,-9.2,-9.4
-1.79E+01,-0.576,-0.56,-9.2,-8.8
-1.79E+01,-0.576,-0.584,-9.2,-9.4
-1.79E+01,-0.576,-0.568,-9.2,-8.8
-1.78E+01,-0.576,-0.584,-9.2,-9.4
-1.78E+01,-0.576,-0.568,-9.2,-9
-1.78E+01,-0.576,-0.584,-9.2,-9.4
-1.78E+01,-0.576,-0.568,-9.2,-9
-1.78E+01,-0.576,-0.584,-9.2,-9.4
-1.78E+01,-0.576,-0.568,-9.2,-8.8
-1.78E+01,-0.576,-0.584,-9.2,-9.4
-1.78E+01,-0.576,-0.568,-9.2,-9
-1.78E+01,-0.576,-0.584,-9.2,-9.4
-1.78E+01,-0.576,-0.568,-9.2,-9
-1.78E+01,-0.576,-0.584,-9.2,-9.4
-1.78E+01,-0.576,-0.568,-9.2,-9
-1.78E+01,-0.576,-0.584,-9.2,-9.4
-1.78E+01,-0.576,-0.568,-9.2,-9
-1.77E+01,-0.576,-0.584,-9.2,-9.4
-1.77E+01,-0.576,-0.56,-9.2,-9
-1.77E+01,-0.576,-0.592,-9.2,-9.4
-1.77E+01,-0.576,-0.568,-9.2,-9
-1.77E+01,-0.576,-0.584,-9.2,-9.4
-1.77E+01,-0.576,-0.568,-9.2,-9
-1.77E+01,-0.576,-0.584,-9.2,-9.4
-1.77E+01,-0.576,-0.568,-9.2,-9
-1.77E+01,-0.576,-0.584,-9.2,-9.4
-1.77E+01,-0.576,-0.568,-9.2,-9
-1.77E+01,-0.576,-0.584,-9.2,-9.4
-1.77E+01,-0.576,-0.568,-9.2,-9
-1.77E+01,-0.576,-0.584,-9.2,-9.4
-1.76E+01,-0.576,-0.568,-9.2,-9
-1.76E+01,-0.576,-0.584,-9.2,-9.4
-1.76E+01,-0.576,-0.568,-9.2,-9
-1.76E+01,-0.576,-0.584,-9.2,-9.4
-1.76E+01,-0.576,-0.568,-9.2,-9
-1.76E+01,-0.576,-0.592,-9.2,-9.4
-1.76E+01,-0.576,-0.568,-9.2,-9
-1.76E+01,-0.576,-0.584,-9.2,-9.4
-1.76E+01,-0.576,-0.568,-9.2,-9
-1.76E+01,-0.576,-0.592,-9.2,-9.4
-1.76E+01,-0.576,-0.568,-9.2,-9
-1.76E+01,-0.576,-0.592,-9.2,-9.6
-1.76E+01,-0.576,-0.568,-9.2,-9
-1.75E+01,-0.576,-0.584,-9.2,-9.6
-1.75E+01,-0.576,-0.568,-9.2,-9
-1.75E+01,-0.576,-0.592,-9.2,-9.6
-1.75E+01,-0.576,-0.568,-9.2,-9
-1.75E+01,-0.576,-0.592,-9.2,-9.6
-1.75E+01,-0.576,-0.568,-9.2,-9
-1.75E+01,-0.576,-0.592,-9.4,-9.6
-1.75E+01,-0.576,-0.568,-9.4,-9
-1.75E+01,-0.576,-0.592,-9.4,-9.6
-1.75E+01,-0.576,-0.568,-9.4,-9
-1.75E+01,-0.576,-0.592,-9.4,-9.6
-1.75E+01,-0.576,-0.568,-9.4,-9
-1.75E+01,-0.576,-0.592,-9.4,-9.6
-1.74E+01,-0.576,-0.568,-9.4,-9
-1.74E+01,-0.576,-0.592,-9.4,-9.6
-1.74E+01,-0.576,-0.568,-9.4,-9.2
-1.74E+01,-0.584,-0.592,-9.4,-9.6
-1.74E+01,-0.584,-0.568,-9.4,-9
-1.74E+01,-0.584,-0.592,-9.4,-9.6
-1.74E+01,-0.584,-0.568,-9.4,-9.2
-1.74E+01,-0.584,-0.592,-9.4,-9.6
-1.74E+01,-0.584,-0.568,-9.4,-9
-1.74E+01,-0.584,-0.592,-9.4,-9.6
