Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,-0.204,,-21,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.6444e+01,-0.208,-0.192,2.4,2.6
-1.6436e+01,-0.208,-0.216,2.4,2.2
-1.6429e+01,-0.208,-0.192,2.4,2.6
-1.6421e+01,-0.2,-0.216,2.4,2.2
-1.6413e+01,-0.2,-0.192,2.4,2.6
-1.6406e+01,-0.2,-0.216,2.4,2.2
-1.6398e+01,-0.2,-0.192,2.4,2.6
-1.6390e+01,-0.2,-0.216,2.4,2.2
-1.6382e+01,-0.2,-0.192,2.4,2.6
-1.6375e+01,-0.2,-0.216,2.4,2.2
-1.6367e+01,-0.2,-0.192,2.4,2.6
-1.6359e+01,-0.2,-0.216,2.4,2.2
-1.6352e+01,-0.2,-0.192,2.4,2.6
-1.6344e+01,-0.2,-0.216,2.4,2
-1.6336e+01,-0.2,-0.192,2.4,2.6
-1.6329e+01,-0.2,-0.216,2.4,2.2
-1.6321e+01,-0.2,-0.192,2.4,2.6
-1.6313e+01,-0.2,-0.216,2.4,2
-1.6306e+01,-0.2,-0.192,2.2,2.6
-1.6298e+01,-0.2,-0.216,2.2,2
-1.6290e+01,-0.2,-0.184,2.2,2.6
-1.6283e+01,-0.2,-0.216,2.2,2
-1.6275e+01,-0.2,-0.192,2.2,2.4
-1.6267e+01,-0.2,-0.216,2.2,2
-1.6260e+01,-0.2,-0.192,2.2,2.4
-1.6252e+01,-0.2,-0.216,2.2,2
-1.6244e+01,-0.2,-0.192,2.2,2.4
-1.6237e+01,-0.2,-0.216,2.2,2
-1.6229e+01,-0.2,-0.192,2.2,2.4
-1.6221e+01,-0.208,-0.216,2.2,2
-1.6214e+01,-0.208,-0.192,2.2,2.4
-1.6206e+01,-0.208,-0.216,2.2,2
-1.6198e+01,-0.208,-0.192,2.2,2.4
