Model,DPO2012,,,,,,
Firmware Version,1.39,,,,,,
,,,,,,,
Point Format,Y,,,,,,
Horizontal Units,S,,,,,,
Horizontal Scale,4,,,,,,
Sample Interval,0.00768049,,,,,,
Filter Frequency,14,,,,,,
Record Length,5200,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,,
Probe Attenuation,1,,1,,,,
Vertical Units,V,,V,,,,
Vertical Offset,0,,0,,,,
Vertical Scale,0.1,,5,,,,
Label,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,,
-1.86E+01,-0.2,-0.208,-14,-14.2,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.192,-14,-13.6,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.208,-14,-14.2,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.192,-14,-13.8,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.208,-14,-14.2,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.192,-14,-13.8,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.208,-14,-14.2,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.192,-14,-13.8,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.208,-14,-14.2,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.192,-14,-13.8,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.208,-14,-14.2,,-1.86E+01,-0.2
-1.85E+01,-0.2,-0.188,-14,-13.8,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.208,-14,-14.2,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.188,-14,-13.8,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.216,-14,-14.2,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.192,-14,-13.8,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.208,-14,-14.2,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.188,-14,-13.8,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.212,-14,-14.4,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.192,-14,-13.8,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.208,-14,-14.2,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.196,-14,-13.8,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.212,-14,-14.4,,-1.85E+01,-0.2
-1.85E+01,-0.2,-0.196,-14,-13.8,,-1.85E+01,-0.2
-1.84E+01,-0.2,-0.212,-14,-14.4,,-1.84E+01,-0.2
-1.84E+01,-0.2,-0.192,-14,-13.8,,-1.84E+01,-0.2
-1.84E+01,-0.2,-0.208,-14,-14.4,,-1.84E+01,-0.2
-1.84E+01,-0.2,-0.196,-14,-13.8,,-1.84E+01,-0.2
-1.84E+01,-0.2,-0.208,-14,-14.4,,-1.84E+01,-0.2
-1.84E+01,-0.2,-0.196,-14,-13.8,,-1.84E+01,-0.2
-1.84E+01,-0.2,-0.208,-14.2,-14.4,,-1.84E+01,-0.2
-1.84E+01,-0.2,-0.192,-14.2,-13.8,,-1.84E+01,-0.2
-1.84E+01,-0.2,-0.212,-14.2,-14.4,,-1.84E+01,-0.2
-1.84E+01,-0.204,-0.188,-14.2,-13.8,,-1.84E+01,-0.204
-1.84E+01,-0.204,-0.216,-14.2,-14.4,,-1.84E+01,-0.204
-1.84E+01,-0.204,-0.196,-14.2,-13.8,,-1.84E+01,-0.204
-1.84E+01,-0.204,-0.212,-14.2,-14.4,,-1.84E+01,-0.204
-1.83E+01,-0.204,-0.192,-14.2,-13.8,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.212,-14.2,-14.4,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.196,-14.2,-13.8,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.212,-14.2,-14.4,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.196,-14.2,-14,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.212,-14.2,-14.4,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.196,-14.2,-13.8,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.212,-14.2,-14.4,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.196,-14.2,-14,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.212,-14.2,-14.4,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.196,-14.2,-14,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.212,-14.2,-14.4,,-1.83E+01,-0.204
-1.83E+01,-0.204,-0.196,-14.2,-14,,-1.83E+01,-0.204
-1.82E+01,-0.204,-0.212,-14.2,-14.4,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.196,-14.2,-14,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.216,-14.2,-14.4,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.196,-14.2,-14,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.216,-14.2,-14.4,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.192,-14.2,-14,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.212,-14.2,-14.4,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.196,-14.2,-14,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.212,-14.2,-14.4,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.196,-14.2,-14,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.212,-14.2,-14.4,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.196,-14.2,-14,,-1.82E+01,-0.204
-1.82E+01,-0.204,-0.212,-14.2,-14.6,,-1.82E+01,-0.204
-1.81E+01,-0.204,-0.196,-14.2,-14,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.212,-14.2,-14.6,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.196,-14.2,-14,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.216,-14.4,-14.6,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.196,-14.4,-14,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.212,-14.4,-14.6,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.2,-14.4,-14,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.216,-14.4,-14.6,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.2,-14.4,-14,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.216,-14.4,-14.6,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.2,-14.4,-14,,-1.81E+01,-0.204
-1.81E+01,-0.204,-0.212,-14.4,-14.6,,-1.81E+01,-0.204
-1.81E+01,-0.208,-0.196,-14.4,-14,,-1.81E+01,-0.208
-1.80E+01,-0.208,-0.216,-14.4,-14.6,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.2,-14.4,-14.2,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.216,-14.4,-14.6,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.196,-14.4,-14.2,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.216,-14.4,-14.6,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.2,-14.4,-14.2,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.216,-14.4,-14.6,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.2,-14.4,-14.2,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.216,-14.4,-14.6,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.2,-14.4,-14.2,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.216,-14.4,-14.6,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.2,-14.4,-14.2,,-1.80E+01,-0.208
-1.80E+01,-0.208,-0.216,-14.4,-14.6,,-1.80E+01,-0.208
-1.79E+01,-0.208,-0.2,-14.4,-14.2,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.216,-14.4,-14.6,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.2,-14.4,-14.2,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.216,-14.4,-14.6,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.196,-14.4,-14.2,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.216,-14.4,-14.6,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.196,-14.4,-14.2,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.22,-14.4,-14.8,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.2,-14.4,-14.2,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.224,-14.4,-14.8,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.2,-14.4,-14.2,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.216,-14.4,-14.8,,-1.79E+01,-0.208
-1.79E+01,-0.208,-0.196,-14.4,-14.2,,-1.79E+01,-0.208
-1.78E+01,-0.208,-0.22,-14.4,-14.8,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.2,-14.4,-14.2,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.216,-14.4,-14.8,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.2,-14.6,-14.2,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.216,-14.6,-14.8,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.2,-14.6,-14.2,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.22,-14.6,-14.8,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.204,-14.6,-14.2,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.216,-14.6,-14.8,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.2,-14.6,-14.2,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.216,-14.6,-14.8,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.204,-14.6,-14.4,,-1.78E+01,-0.208
-1.78E+01,-0.208,-0.22,-14.6,-14.8,,-1.78E+01,-0.208
-1.78E+01,-0.212,-0.2,-14.6,-14.4,,-1.78E+01,-0.212
-1.77E+01,-0.212,-0.22,-14.6,-14.8,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.2,-14.6,-14.4,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.224,-14.6,-14.8,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.204,-14.6,-14.4,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.22,-14.6,-14.8,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.2,-14.6,-14.4,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.22,-14.6,-14.8,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.204,-14.6,-14.4,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.22,-14.6,-14.8,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.204,-14.6,-14.4,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.22,-14.6,-14.8,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.204,-14.6,-14.4,,-1.77E+01,-0.212
-1.77E+01,-0.212,-0.22,-14.6,-14.8,,-1.77E+01,-0.212
-1.76E+01,-0.212,-0.204,-14.6,-14.4,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.22,-14.6,-14.8,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.204,-14.6,-14.4,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.22,-14.6,-14.8,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.204,-14.6,-14.4,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.22,-14.6,-14.8,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.204,-14.6,-14.4,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.22,-14.6,-14.8,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.2,-14.6,-14.4,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.224,-14.6,-15,,-1.76E+01,-0.212
-1.76E+01,-0.212,-0.204,-14.6,-14.4,,-1.76E+01,-0.212
