Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.313e+00,-0.004,-0.008,-8.4,-8.8
-9.309e+00,-0.004,0.004,-8.6,-8.4
-9.305e+00,-0.004,-0.012,-8.6,-8.8
-9.301e+00,-0,0.004,-8.6,-8.4
-9.297e+00,-0.004,-0.008,-8.6,-8.8
-9.293e+00,-0,0.004,-8.6,-8.4
-9.290e+00,-0.004,-0.012,-8.6,-8.8
-9.286e+00,-0.004,0.008,-8.6,-8.4
-9.282e+00,-0.004,-0.012,-8.6,-8.8
-9.278e+00,-0.004,0.004,-8.6,-8.4
-9.274e+00,-0.004,-0.012,-8.6,-8.8
-9.270e+00,-0.004,0.008,-8.6,-8.4
-9.267e+00,-0.004,-0.012,-8.6,-8.8
-9.263e+00,-0.004,0.004,-8.6,-8.4
-9.259e+00,-0.004,-0.012,-8.6,-8.8
-9.255e+00,-0,0.008,-8.6,-8.4
-9.251e+00,-0.004,-0.012,-8.6,-8.8
-9.247e+00,-0.004,0.008,-8.6,-8.4
-9.243e+00,-0.004,-0.012,-8.6,-8.8
-9.240e+00,-0.004,0.004,-8.6,-8.4
-9.236e+00,-0,-0.012,-8.6,-8.8
-9.232e+00,-0.004,0.004,-8.6,-8.4
-9.228e+00,-0.004,-0.012,-8.6,-8.8
-9.224e+00,-0.004,0.012,-8.6,-8.4
-9.220e+00,-0,-0.016,-8.6,-9
-9.217e+00,-0.004,0.008,-8.6,-8.4
-9.213e+00,-0.004,-0.012,-8.6,-9
-9.209e+00,-0.004,0.004,-8.8,-8.4
-9.205e+00,-0,-0.012,-8.6,-9
-9.201e+00,-0.004,0.008,-8.6,-8.4
-9.197e+00,-0.004,-0.012,-8.6,-9
-9.194e+00,-0.004,0.004,-8.8,-8.4
-9.190e+00,-0.004,-0.012,-8.8,-9
-9.186e+00,-0.004,0.008,-8.8,-8.6
-9.182e+00,-0.004,-0.012,-8.8,-9
-9.178e+00,-0.004,0.004,-8.8,-8.4
-9.174e+00,-0.004,-0.012,-8.8,-9
-9.171e+00,-0.004,0.004,-8.8,-8.6
-9.167e+00,-0,-0.012,-8.8,-9
-9.163e+00,-0.004,0.004,-8.8,-8.6
-9.159e+00,-0.004,-0.012,-8.8,-9
-9.155e+00,-0.004,0.004,-8.8,-8.6
-9.151e+00,-0.004,-0.012,-8.8,-9
-9.147e+00,-0,0.004,-8.8,-8.6
-9.144e+00,-0.004,-0.012,-8.8,-9
-9.140e+00,-0.004,0.008,-8.8,-8.6
-9.136e+00,-0.004,-0.012,-8.8,-9
-9.132e+00,-0.004,0.004,-8.8,-8.6
-9.128e+00,-0.004,-0.012,-8.8,-9
-9.124e+00,-0.004,0.004,-8.8,-8.6
-9.121e+00,-0,-0.012,-8.8,-9
-9.117e+00,-0.004,0.004,-8.8,-8.6
-9.113e+00,-0.004,-0.012,-8.8,-9
-9.109e+00,-0.004,0.004,-8.8,-8.6
-9.105e+00,-0.004,-0.012,-8.8,-9
-9.101e+00,-0,0.004,-8.8,-8.6
-9.098e+00,-0.004,-0.012,-8.8,-9
-9.094e+00,-0.004,0.004,-8.8,-8.6
-9.090e+00,-0.004,-0.012,-8.8,-9
-9.086e+00,-0.004,0.004,-8.8,-8.6
-9.082e+00,-0.004,-0.012,-8.8,-9
-9.078e+00,-0.004,0.004,-8.8,-8.6
-9.075e+00,-0,-0.012,-8.8,-9
-9.071e+00,-0.004,0.004,-8.8,-8.6
-9.067e+00,-0.004,-0.012,-8.8,-9
-9.063e+00,-0.004,0.008,-8.8,-8.6
-9.059e+00,-0.004,-0.016,-8.8,-9
-9.055e+00,-0.004,0.008,-8.8,-8.6
-9.051e+00,-0.004,-0.02,-8.8,-9.2
-9.048e+00,-0.004,0.004,-8.8,-8.6
