Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,1.40E+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.86E+01,0.128,0.152,0.008,0.02
-1.86E+01,0.128,0.1,0.01,-2.38E-09
-1.85E+01,0.128,0.156,0.008,0.018
-1.85E+01,0.128,0.104,0.008,-2.38E-09
-1.85E+01,0.128,0.152,0.008,0.018
-1.85E+01,0.128,0.1,0.008,-2.38E-09
-1.85E+01,0.128,0.152,0.008,0.014
-1.85E+01,0.128,0.1,0.008,-2.38E-09
-1.85E+01,0.128,0.152,0.008,0.016
-1.85E+01,0.128,0.1,0.008,-2.38E-09
-1.85E+01,0.128,0.152,0.008,0.016
-1.85E+01,0.128,0.1,0.008,0.002
-1.85E+01,0.128,0.156,0.008,0.016
-1.85E+01,0.128,0.104,0.008,-2.38E-09
-1.85E+01,0.128,0.152,0.008,0.016
-1.84E+01,0.128,0.1,0.008,-2.38E-09
-1.84E+01,0.128,0.156,0.008,0.016
-1.84E+01,0.128,0.104,0.008,-0.002
-1.84E+01,0.128,0.156,0.008,0.02
-1.84E+01,0.132,0.1,0.008,-0.002
-1.84E+01,0.132,0.156,0.01,0.02
-1.84E+01,0.132,0.108,0.008,-2.38E-09
-1.84E+01,0.132,0.156,0.008,0.018
-1.84E+01,0.132,0.1,0.006,-2.38E-09
-1.84E+01,0.132,0.156,0.008,0.018
-1.84E+01,0.132,0.104,0.01,-2.38E-09
-1.84E+01,0.132,0.156,0.008,0.014
-1.84E+01,0.132,0.1,0.008,-2.38E-09
-1.83E+01,0.132,0.156,0.008,0.016
-1.83E+01,0.132,0.104,0.008,0.002
-1.83E+01,0.132,0.156,0.008,0.016
-1.83E+01,0.132,0.104,0.008,0.002
-1.83E+01,0.132,0.16,0.008,0.016
-1.83E+01,0.132,0.104,0.01,0.002
-1.83E+01,0.132,0.156,0.01,0.016
-1.83E+01,0.132,0.108,0.008,-2.38E-09
-1.83E+01,0.132,0.156,0.008,0.016
-1.83E+01,0.132,0.104,0.008,-2.38E-09
-1.83E+01,0.132,0.156,0.01,0.018
-1.83E+01,0.132,0.112,0.01,-0.004
-1.83E+01,0.132,0.16,0.01,0.02
-1.82E+01,0.132,0.104,0.01,-2.38E-09
-1.82E+01,0.136,0.156,0.01,0.016
-1.82E+01,0.132,0.112,0.008,-2.38E-09
-1.82E+01,0.132,0.16,0.008,0.018
-1.82E+01,0.136,0.112,0.01,0.002
-1.82E+01,0.132,0.16,0.01,0.016
-1.82E+01,0.136,0.104,0.01,-2.38E-09
-1.82E+01,0.136,0.16,0.008,0.016
-1.82E+01,0.136,0.112,0.008,0.002
-1.82E+01,0.136,0.16,0.01,0.018
-1.82E+01,0.136,0.104,0.01,0.002
-1.82E+01,0.136,0.16,0.012,0.018
-1.82E+01,0.136,0.112,0.01,0.002
-1.81E+01,0.136,0.16,0.01,0.018
-1.81E+01,0.136,0.108,0.008,0.002
-1.81E+01,0.136,0.156,0.01,0.018
-1.81E+01,0.136,0.108,0.01,0.002
-1.81E+01,0.136,0.16,0.01,0.02
-1.81E+01,0.136,0.108,0.01,-0.002
-1.81E+01,0.136,0.16,0.01,0.022
-1.81E+01,0.136,0.108,0.01,-2.38E-09
-1.81E+01,0.136,0.16,0.01,0.02
-1.81E+01,0.136,0.112,0.01,0.002
-1.81E+01,0.136,0.16,0.01,0.018
-1.81E+01,0.136,0.108,0.012,0.002
-1.81E+01,0.136,0.164,0.01,0.02
-1.80E+01,0.136,0.112,0.01,0.002
-1.80E+01,0.136,0.164,0.01,0.018
-1.80E+01,0.136,0.108,0.01,0.002
-1.80E+01,0.136,0.16,0.01,0.018
-1.80E+01,0.14,0.112,0.012,0.004
-1.80E+01,0.14,0.164,0.01,0.018
-1.80E+01,0.14,0.108,0.01,0.002
-1.80E+01,0.14,0.16,0.01,0.018
-1.80E+01,0.14,0.108,0.01,0.004
-1.80E+01,0.14,0.164,0.012,0.018
-1.80E+01,0.14,0.112,0.012,0.004
-1.80E+01,0.14,0.16,0.012,0.02
-1.80E+01,0.14,0.108,0.01,0.002
-1.79E+01,0.14,0.164,0.01,0.018
-1.79E+01,0.14,0.112,0.01,-0.006
-1.79E+01,0.14,0.164,0.01,0.022
-1.79E+01,0.14,0.108,0.012,0.004
-1.79E+01,0.14,0.164,0.012,0.02
-1.79E+01,0.14,0.116,0.012,0.002
-1.79E+01,0.14,0.164,0.012,0.022
-1.79E+01,0.14,0.108,0.01,0.004
-1.79E+01,0.14,0.164,0.012,0.02
-1.79E+01,0.14,0.116,0.012,0.004
-1.79E+01,0.14,0.164,0.014,0.018
-1.79E+01,0.14,0.112,0.012,0.004
-1.79E+01,0.14,0.168,0.012,0.02
-1.78E+01,0.14,0.112,0.012,0.004
-1.78E+01,0.14,0.164,0.012,0.02
-1.78E+01,0.14,0.112,0.012,0.004
-1.78E+01,0.14,0.168,0.012,0.02
-1.78E+01,0.144,0.112,0.014,0.002
-1.78E+01,0.14,0.168,0.012,0.02
-1.78E+01,0.144,0.116,0.012,0.004
-1.78E+01,0.144,0.168,0.01,0.022
-1.78E+01,0.144,0.112,0.012,0.002
-1.78E+01,0.144,0.164,0.012,0.024
-1.78E+01,0.144,0.12,0.014,0.004
-1.78E+01,0.144,0.168,0.012,0.02
-1.78E+01,0.144,0.112,0.012,0.002
-1.78E+01,0.144,0.168,0.01,0.02
-1.77E+01,0.144,0.116,0.012,0.004
-1.77E+01,0.144,0.168,0.012,0.02
-1.77E+01,0.144,0.116,0.014,0.006
-1.77E+01,0.144,0.168,0.014,0.02
-1.77E+01,0.144,0.112,0.014,0.004
-1.77E+01,0.144,0.168,0.014,0.02
-1.77E+01,0.144,0.124,0.012,0.006
-1.77E+01,0.144,0.172,0.014,0.02
-1.77E+01,0.144,0.116,0.012,0.006
-1.77E+01,0.144,0.168,0.014,0.02
-1.77E+01,0.144,0.124,0.014,0.006
-1.77E+01,0.144,0.168,0.014,0.02
-1.77E+01,0.144,0.116,0.012,0.004
-1.76E+01,0.148,0.168,0.014,0.022
-1.76E+01,0.144,0.116,0.014,-2.38E-09
-1.76E+01,0.148,0.172,0.014,0.028
-1.76E+01,0.144,0.12,0.014,0.002
-1.76E+01,0.148,0.168,0.012,0.024
-1.76E+01,0.148,0.116,0.012,0.006
-1.76E+01,0.148,0.172,0.012,0.022
-1.76E+01,0.148,0.12,0.014,0.006
-1.76E+01,0.148,0.172,0.014,0.026
-1.76E+01,0.148,0.116,0.014,0.006
-1.76E+01,0.148,0.168,0.014,0.022
-1.76E+01,0.148,0.12,0.014,0.006
-1.76E+01,0.148,0.172,0.014,0.022
-1.75E+01,0.148,0.12,0.014,0.006
-1.75E+01,0.148,0.172,0.014,0.022
-1.75E+01,0.148,0.124,0.016,0.008
-1.75E+01,0.148,0.172,0.014,0.022
-1.75E+01,0.148,0.12,0.014,0.006
-1.75E+01,0.148,0.172,0.014,0.022
-1.75E+01,0.148,0.12,0.014,0.006
-1.75E+01,0.148,0.168,0.014,0.024
-1.75E+01,0.148,0.12,0.016,0.006
-1.75E+01,0.148,0.172,0.014,0.022
-1.75E+01,0.148,0.12,0.016,0.004
-1.75E+01,0.148,0.172,0.016,0.026
-1.75E+01,0.148,0.124,0.016,0.008
-1.74E+01,0.148,0.176,0.014,0.024
-1.74E+01,0.148,0.12,0.014,0.006
-1.74E+01,0.148,0.172,0.016,0.024
-1.74E+01,0.152,0.128,0.016,0.008
-1.74E+01,0.152,0.176,0.016,0.022
-1.74E+01,0.148,0.12,0.014,0.006
-1.74E+01,0.152,0.176,0.016,0.024
-1.74E+01,0.152,0.128,0.016,0.008
-1.74E+01,0.152,0.172,0.016,0.022
-1.74E+01,0.152,0.12,0.018,0.008
-1.74E+01,0.152,0.176,0.016,0.024
-1.74E+01,0.152,0.128,0.014,0.008
-1.74E+01,0.152,0.176,0.016,0.022
-1.73E+01,0.152,0.124,0.016,0.008
-1.73E+01,0.152,0.176,0.018,0.024
-1.73E+01,0.152,0.124,0.016,0.008
-1.73E+01,0.152,0.176,0.016,0.026
-1.73E+01,0.152,0.132,0.016,0.006
-1.73E+01,0.152,0.176,0.016,0.026
-1.73E+01,0.152,0.124,0.016,-2.38E-09
-1.73E+01,0.152,0.176,0.016,0.026
-1.73E+01,0.152,0.132,0.018,0.008
-1.73E+01,0.152,0.176,0.016,0.026
-1.73E+01,0.152,0.12,0.016,0.008
-1.73E+01,0.152,0.176,0.016,0.028
-1.73E+01,0.152,0.128,0.016,0.008
-1.72E+01,0.152,0.18,0.016,0.026
-1.72E+01,0.152,0.128,0.02,0.01
-1.72E+01,0.152,0.176,0.018,0.026
-1.72E+01,0.152,0.12,0.018,0.01
-1.72E+01,0.152,0.18,0.016,0.026
-1.72E+01,0.156,0.132,0.016,0.01
-1.72E+01,0.156,0.18,0.018,0.024
-1.72E+01,0.156,0.124,0.018,0.01
-1.72E+01,0.156,0.176,0.02,0.026
-1.72E+01,0.156,0.132,0.018,0.01
-1.72E+01,0.156,0.18,0.018,0.028
-1.72E+01,0.156,0.128,0.016,0.01
-1.72E+01,0.156,0.18,0.018,0.026
-1.71E+01,0.156,0.124,0.018,0.006
-1.71E+01,0.156,0.18,0.02,0.03
-1.71E+01,0.156,0.128,0.018,0.01
-1.71E+01,0.156,0.18,0.018,0.026
-1.71E+01,0.156,0.124,0.016,0.01
-1.71E+01,0.156,0.18,0.018,0.028
-1.71E+01,0.156,0.128,0.018,0.01
-1.71E+01,0.156,0.18,0.022,0.026
-1.71E+01,0.156,0.128,0.018,0.01
-1.71E+01,0.156,0.18,0.018,0.024
-1.71E+01,0.156,0.132,0.018,0.01
-1.71E+01,0.156,0.18,0.018,0.026
-1.71E+01,0.156,0.128,0.018,0.01
-1.70E+01,0.156,0.184,0.018,0.026
-1.70E+01,0.156,0.132,0.018,0.01
-1.70E+01,0.156,0.184,0.018,0.024
-1.70E+01,0.156,0.128,0.018,0.01
-1.70E+01,0.16,0.18,0.016,0.024
-1.70E+01,0.156,0.136,0.018,0.01
-1.70E+01,0.156,0.18,0.018,0.028
-1.70E+01,0.156,0.128,0.02,0.006
-1.70E+01,0.156,0.184,0.018,0.03
-1.70E+01,0.16,0.128,0.018,0.01
-1.70E+01,0.16,0.18,0.016,0.026
-1.70E+01,0.16,0.132,0.018,0.008
-1.70E+01,0.16,0.184,0.018,0.028
-1.69E+01,0.16,0.132,0.02,0.008
-1.69E+01,0.16,0.184,0.018,0.026
-1.69E+01,0.16,0.136,0.018,0.01
-1.69E+01,0.16,0.184,0.018,0.026
-1.69E+01,0.16,0.128,0.018,0.01
-1.69E+01,0.16,0.184,0.018,0.026
-1.69E+01,0.16,0.136,0.018,0.012
-1.69E+01,0.16,0.188,0.02,0.026
-1.69E+01,0.16,0.128,0.018,0.01
-1.69E+01,0.16,0.184,0.018,0.028
-1.69E+01,0.16,0.14,0.018,0.012
-1.69E+01,0.16,0.184,0.02,0.026
-1.69E+01,0.16,0.136,0.02,0.012
-1.68E+01,0.16,0.188,0.02,0.028
-1.68E+01,0.16,0.132,0.02,0.01
-1.68E+01,0.16,0.184,0.02,0.03
-1.68E+01,0.16,0.14,0.018,0.01
-1.68E+01,0.16,0.188,0.02,0.03
-1.68E+01,0.16,0.132,0.02,0.012
-1.68E+01,0.164,0.184,0.02,0.028
-1.68E+01,0.16,0.14,0.02,0.01
-1.68E+01,0.16,0.188,0.022,0.03
-1.68E+01,0.16,0.136,0.02,0.014
-1.68E+01,0.16,0.184,0.02,0.028
-1.68E+01,0.164,0.132,0.02,0.012
-1.68E+01,0.164,0.188,0.02,0.028
-1.67E+01,0.164,0.136,0.022,0.012
-1.67E+01,0.164,0.188,0.02,0.028
-1.67E+01,0.164,0.136,0.022,0.012
-1.67E+01,0.164,0.188,0.018,0.028
-1.67E+01,0.164,0.136,0.02,0.012
-1.67E+01,0.164,0.188,0.02,0.028
-1.67E+01,0.164,0.132,0.022,0.012
-1.67E+01,0.164,0.188,0.022,0.028
-1.67E+01,0.164,0.14,0.022,0.012
-1.67E+01,0.164,0.188,0.022,0.03
-1.67E+01,0.164,0.136,0.02,0.002
-1.67E+01,0.164,0.188,0.02,0.034
-1.67E+01,0.164,0.14,0.022,0.014
-1.66E+01,0.164,0.192,0.022,0.03
-1.66E+01,0.164,0.136,0.022,0.012
-1.66E+01,0.164,0.188,0.022,0.03
-1.66E+01,0.164,0.136,0.02,0.014
-1.66E+01,0.164,0.192,0.022,0.028
-1.66E+01,0.164,0.14,0.022,0.012
-1.66E+01,0.164,0.188,0.022,0.028
-1.66E+01,0.164,0.136,0.022,0.016
-1.66E+01,0.164,0.188,0.022,0.03
-1.66E+01,0.168,0.136,0.02,0.014
-1.66E+01,0.164,0.192,0.022,0.03
-1.66E+01,0.168,0.136,0.022,0.016
-1.66E+01,0.168,0.192,0.024,0.032
-1.65E+01,0.168,0.144,0.022,0.014
-1.65E+01,0.168,0.192,0.022,0.03
-1.65E+01,0.168,0.136,0.022,0.014
-1.65E+01,0.168,0.192,0.022,0.032
-1.65E+01,0.168,0.144,0.022,0.012
-1.65E+01,0.168,0.192,0.022,0.034
-1.65E+01,0.168,0.136,0.024,0.014
-1.65E+01,0.168,0.192,0.024,0.034
-1.65E+01,0.168,0.144,0.022,0.016
-1.65E+01,0.168,0.192,0.022,0.03
-1.65E+01,0.168,0.14,0.022,0.014
-1.65E+01,0.168,0.192,0.024,0.032
-1.65E+01,0.168,0.14,0.024,0.014
-1.64E+01,0.168,0.192,0.022,0.03
-1.64E+01,0.168,0.148,0.024,0.016
-1.64E+01,0.168,0.196,0.022,0.032
-1.64E+01,0.168,0.14,0.022,0.014
-1.64E+01,0.168,0.192,0.022,0.03
-1.64E+01,0.168,0.148,0.024,0.016
-1.64E+01,0.168,0.196,0.024,0.03
-1.64E+01,0.168,0.14,0.024,0.016
-1.64E+01,0.172,0.196,0.024,0.032
-1.64E+01,0.172,0.148,0.022,0.016
-1.64E+01,0.172,0.192,0.024,0.034
-1.64E+01,0.172,0.144,0.024,0.014
-1.64E+01,0.172,0.192,0.026,0.036
-1.63E+01,0.172,0.14,0.024,0.014
-1.63E+01,0.172,0.196,0.024,0.032
-1.63E+01,0.172,0.148,0.024,0.018
-1.63E+01,0.172,0.196,0.024,0.032
-1.63E+01,0.172,0.14,0.024,0.016
-1.63E+01,0.172,0.196,0.026,0.034
-1.63E+01,0.172,0.148,0.024,0.016
-1.63E+01,0.172,0.196,0.024,0.032
-1.63E+01,0.172,0.144,0.024,0.016
-1.63E+01,0.172,0.196,0.024,0.032
-1.63E+01,0.172,0.14,0.024,0.016
-1.63E+01,0.172,0.196,0.024,0.032
-1.63E+01,0.172,0.144,0.026,0.016
-1.62E+01,0.172,0.196,0.026,0.032
-1.62E+01,0.172,0.144,0.026,0.018
-1.62E+01,0.172,0.196,0.024,0.032
-1.62E+01,0.172,0.148,0.024,0.018
-1.62E+01,0.172,0.196,0.026,0.034
-1.62E+01,0.172,0.144,0.026,0.018
-1.62E+01,0.172,0.196,0.026,0.034
-1.62E+01,0.172,0.148,0.026,0.014
-1.62E+01,0.172,0.2,0.024,0.038
-1.62E+01,0.172,0.144,0.026,0.02
-1.62E+01,0.172,0.196,0.026,0.036
-1.62E+01,0.176,0.152,0.028,0.018
-1.62E+01,0.176,0.2,0.028,0.038
-1.61E+01,0.176,0.144,0.026,0.018
-1.61E+01,0.176,0.196,0.026,0.034
-1.61E+01,0.176,0.148,0.026,0.02
-1.61E+01,0.176,0.196,0.028,0.034
-1.61E+01,0.176,0.144,0.028,0.02
-1.61E+01,0.176,0.2,0.028,0.036
-1.61E+01,0.176,0.144,0.028,0.018
-1.61E+01,0.176,0.196,0.028,0.036
-1.61E+01,0.176,0.148,0.026,0.02
-1.61E+01,0.176,0.2,0.028,0.036
