Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.88E+01,-0.032,-0.084,-0.31,-0.51
-1.88E+01,-0.032,0.012,-0.29,-0.13
-1.88E+01,-0.032,-0.08,-0.29,-0.47
-1.88E+01,-0.032,0.016,-0.27,-0.09
-1.87E+01,-0.032,-0.088,-0.25,-0.43
-1.87E+01,-0.032,0.012,-0.23,-0.05
-1.87E+01,-0.032,-0.08,-0.21,-0.39
-1.87E+01,-0.032,0.008,-0.19,-0.00999999
-1.87E+01,-0.032,-0.084,-0.17,-0.37
-1.87E+01,-0.032,0.02,-0.13,0.05
-1.87E+01,-0.032,-0.084,-0.11,-0.33
-1.87E+01,-0.032,0.012,-0.07,0.09
-1.87E+01,-0.032,-0.08,-0.03,-0.27
-1.87E+01,-0.032,0.02,-0.00999999,0.17
-1.87E+01,-0.032,-0.088,0.03,-0.19
-1.87E+01,-0.032,0.012,0.03,0.25
-1.87E+01,-0.032,-0.076,0.05,-0.15
-1.86E+01,-0.032,0.02,0.03,0.25
-1.86E+01,-0.032,-0.084,0.03,-0.17
-1.86E+01,-0.032,0.016,0.01,0.21
-1.86E+01,-0.032,-0.08,-0.00999999,-0.21
-1.86E+01,-0.032,0.02,-0.03,0.19
-1.86E+01,-0.032,-0.084,-0.05,-0.27
-1.86E+01,-0.032,0.02,-0.07,0.17
-1.86E+01,-0.032,-0.076,-0.09,-0.29
-1.86E+01,-0.032,0.016,-0.11,0.13
-1.86E+01,-0.032,-0.08,-0.11,-0.31
-1.86E+01,-0.032,0.02,-0.13,0.11
-1.86E+01,-0.032,-0.084,-0.13,-0.33
-1.86E+01,-0.032,0.012,-0.15,0.07
-1.85E+01,-0.032,-0.076,-0.17,-0.37
-1.85E+01,-0.032,0.02,-0.19,0.05
-1.85E+01,-0.032,-0.084,-0.19,-0.41
-1.85E+01,-0.032,0.012,-0.21,0.01
-1.85E+01,-0.032,-0.076,-0.23,-0.41
-1.85E+01,-0.032,0.02,-0.23,-0.00999999
-1.85E+01,-0.032,-0.08,-0.23,-0.43
-1.85E+01,-0.032,0.008,-0.23,-0.03
-1.85E+01,-0.032,-0.084,-0.25,-0.43
-1.85E+01,-0.032,0.02,-0.25,-0.05
-1.85E+01,-0.032,-0.076,-0.25,-0.45
-1.85E+01,-0.032,0.008,-0.25,-0.05
-1.85E+01,-0.028,-0.084,-0.25,-0.45
-1.84E+01,-0.028,0.02,-0.25,-0.05
-1.84E+01,-0.028,-0.076,-0.25,-0.45
-1.84E+01,-0.028,0.02,-0.27,-0.05
-1.84E+01,-0.028,-0.08,-0.27,-0.47
-1.84E+01,-0.028,0.016,-0.27,-0.07
-1.84E+01,-0.028,-0.076,-0.27,-0.47
-1.84E+01,-0.028,0.02,-0.29,-0.07
-1.84E+01,-0.028,-0.08,-0.29,-0.49
-1.84E+01,-0.028,0.016,-0.29,-0.07
-1.84E+01,-0.028,-0.076,-0.31,-0.51
-1.84E+01,-0.028,0.024,-0.33,-0.11
-1.84E+01,-0.028,-0.08,-0.33,-0.53
-1.84E+01,-0.028,0.016,-0.35,-0.13
-1.83E+01,-0.028,-0.084,-0.35,-0.55
-1.83E+01,-0.028,0.024,-0.35,-0.15
-1.83E+01,-0.028,-0.076,-0.37,-0.57
-1.83E+01,-0.028,0.012,-0.37,-0.17
-1.83E+01,-0.028,-0.084,-0.37,-0.57
-1.83E+01,-0.028,0.016,-0.37,-0.19
-1.83E+01,-0.028,-0.076,-0.37,-0.57
-1.83E+01,-0.028,0.024,-0.37,-0.17
-1.83E+01,-0.028,-0.084,-0.37,-0.57
-1.83E+01,-0.028,0.016,-0.37,-0.17
-1.83E+01,-0.028,-0.08,-0.37,-0.57
-1.83E+01,-0.028,0.024,-0.37,-0.17
-1.83E+01,-0.028,-0.084,-0.37,-0.57
-1.82E+01,-0.028,0.016,-0.37,-0.17
-1.82E+01,-0.028,-0.076,-0.37,-0.57
-1.82E+01,-0.028,0.024,-0.37,-0.17
-1.82E+01,-0.028,-0.08,-0.35,-0.57
-1.82E+01,-0.028,0.02,-0.35,-0.17
-1.82E+01,-0.028,-0.072,-0.35,-0.55
-1.82E+01,-0.028,0.012,-0.35,-0.17
-1.82E+01,-0.028,-0.08,-0.35,-0.55
-1.82E+01,-0.028,0.02,-0.35,-0.17
-1.82E+01,-0.028,-0.08,-0.35,-0.55
-1.82E+01,-0.028,0.016,-0.35,-0.15
-1.82E+01,-0.028,-0.076,-0.35,-0.53
-1.82E+01,-0.028,0.02,-0.33,-0.15
-1.81E+01,-0.028,-0.08,-0.33,-0.53
-1.81E+01,-0.028,0.016,-0.33,-0.13
-1.81E+01,-0.028,-0.072,-0.33,-0.51
-1.81E+01,-0.028,0.024,-0.31,-0.13
-1.81E+01,-0.028,-0.08,-0.31,-0.51
-1.81E+01,-0.028,0.016,-0.31,-0.11
-1.81E+01,-0.028,-0.072,-0.31,-0.51
-1.81E+01,-0.028,0.024,-0.31,-0.11
-1.81E+01,-0.028,-0.072,-0.29,-0.49
-1.81E+01,-0.028,0.02,-0.29,-0.09
-1.81E+01,-0.028,-0.08,-0.29,-0.49
-1.81E+01,-0.028,0.02,-0.29,-0.09
-1.81E+01,-0.028,-0.076,-0.27,-0.47
-1.80E+01,-0.028,0.02,-0.27,-0.07
-1.80E+01,-0.028,-0.08,-0.25,-0.45
-1.80E+01,-0.028,0.016,-0.23,-0.03
-1.80E+01,-0.028,-0.072,-0.23,-0.43
-1.80E+01,-0.028,0.024,-0.21,-0.03
-1.80E+01,-0.028,-0.08,-0.19,-0.39
-1.80E+01,-0.028,0.016,-0.17,-0.00999999
-1.80E+01,-0.028,-0.084,-0.13,-0.33
-1.80E+01,-0.028,0.024,-0.13,0.05
-1.80E+01,-0.028,-0.076,-0.13,-0.33
-1.80E+01,-0.028,0.016,-0.13,0.09
-1.80E+01,-0.028,-0.08,-0.13,-0.33
-1.80E+01,-0.024,0.024,-0.13,0.07
-1.79E+01,-0.024,-0.076,-0.13,-0.33
-1.79E+01,-0.024,0.016,-0.13,0.07
-1.79E+01,-0.024,-0.08,-0.13,-0.33
-1.79E+01,-0.024,0.016,-0.13,0.07
-1.79E+01,-0.024,-0.076,-0.15,-0.33
-1.79E+01,-0.024,0.024,-0.15,0.07
-1.79E+01,-0.024,-0.08,-0.15,-0.35
-1.79E+01,-0.024,0.02,-0.15,0.05
-1.79E+01,-0.024,-0.076,-0.15,-0.35
-1.79E+01,-0.024,0.024,-0.17,0.05
-1.79E+01,-0.024,-0.08,-0.17,-0.37
-1.79E+01,-0.024,0.016,-0.17,0.05
-1.79E+01,-0.024,-0.072,-0.17,-0.37
-1.78E+01,-0.024,0.016,-0.17,0.03
-1.78E+01,-0.024,-0.076,-0.17,-0.37
-1.78E+01,-0.024,0.024,-0.19,0.03
-1.78E+01,-0.024,-0.076,-0.19,-0.39
-1.78E+01,-0.024,0.016,-0.19,0.03
-1.78E+01,-0.024,-0.076,-0.19,-0.39
-1.78E+01,-0.024,0.028,-0.19,0.01
-1.78E+01,-0.024,-0.08,-0.19,-0.39
-1.78E+01,-0.024,0.016,-0.19,0.01
-1.78E+01,-0.024,-0.072,-0.21,-0.39
-1.78E+01,-0.024,0.024,-0.21,0.01
-1.78E+01,-0.024,-0.076,-0.19,-0.39
-1.78E+01,-0.024,0.02,-0.19,0.01
-1.78E+01,-0.024,-0.072,-0.19,-0.39
-1.77E+01,-0.024,0.024,-0.19,0.01
-1.77E+01,-0.024,-0.076,-0.19,-0.37
-1.77E+01,-0.024,0.02,-0.19,0.01
