Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.05,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.094e+00,0.208,0.182,0.3,0.292
-9.090e+00,0.208,0.23,0.3,0.304
-9.086e+00,0.208,0.19,0.3,0.292
-9.082e+00,0.208,0.224,0.3,0.304
-9.078e+00,0.208,0.18,0.3,0.292
-9.075e+00,0.208,0.232,0.3,0.308
-9.071e+00,0.208,0.186,0.3,0.292
-9.067e+00,0.208,0.23,0.3,0.308
-9.063e+00,0.208,0.186,0.304,0.296
-9.059e+00,0.208,0.23,0.3,0.308
-9.055e+00,0.208,0.182,0.304,0.292
-9.051e+00,0.208,0.23,0.3,0.312
-9.048e+00,0.208,0.18,0.3,0.296
-9.044e+00,0.208,0.232,0.304,0.312
-9.040e+00,0.208,0.188,0.304,0.292
-9.036e+00,0.208,0.23,0.304,0.316
-9.032e+00,0.208,0.188,0.304,0.292
-9.028e+00,0.208,0.226,0.304,0.316
-9.025e+00,0.208,0.188,0.304,0.296
-9.021e+00,0.208,0.23,0.304,0.312
-9.017e+00,0.208,0.18,0.304,0.296
-9.013e+00,0.208,0.232,0.304,0.312
-9.009e+00,0.21,0.184,0.304,0.3
-9.005e+00,0.208,0.232,0.308,0.312
-9.002e+00,0.208,0.19,0.308,0.296
-8.998e+00,0.208,0.228,0.308,0.316
-8.994e+00,0.208,0.19,0.308,0.3
-8.990e+00,0.21,0.23,0.308,0.312
-8.986e+00,0.208,0.18,0.308,0.3
-8.982e+00,0.21,0.232,0.308,0.316
-8.978e+00,0.21,0.182,0.308,0.3
-8.975e+00,0.21,0.232,0.308,0.316
-8.971e+00,0.21,0.182,0.312,0.3
-8.967e+00,0.21,0.234,0.308,0.316
-8.963e+00,0.21,0.19,0.308,0.304
-8.959e+00,0.21,0.232,0.312,0.316
-8.955e+00,0.21,0.192,0.312,0.304
-8.952e+00,0.21,0.226,0.312,0.316
-8.948e+00,0.21,0.182,0.312,0.304
-8.944e+00,0.21,0.232,0.312,0.316
-8.940e+00,0.21,0.182,0.312,0.304
-8.936e+00,0.21,0.234,0.312,0.316
-8.932e+00,0.21,0.19,0.312,0.304
-8.929e+00,0.21,0.232,0.312,0.32
-8.925e+00,0.21,0.19,0.312,0.304
-8.921e+00,0.21,0.23,0.312,0.32
-8.917e+00,0.21,0.182,0.312,0.308
-8.913e+00,0.21,0.232,0.312,0.32
-8.909e+00,0.21,0.182,0.312,0.308
-8.906e+00,0.21,0.234,0.312,0.32
-8.902e+00,0.21,0.192,0.312,0.308
-8.898e+00,0.21,0.226,0.316,0.32
-8.894e+00,0.21,0.19,0.316,0.308
-8.890e+00,0.21,0.23,0.316,0.324
-8.886e+00,0.21,0.184,0.316,0.308
-8.882e+00,0.21,0.232,0.316,0.324
-8.879e+00,0.21,0.194,0.316,0.304
-8.875e+00,0.21,0.226,0.316,0.328
-8.871e+00,0.21,0.184,0.316,0.308
-8.867e+00,0.21,0.234,0.316,0.328
-8.863e+00,0.21,0.19,0.316,0.312
-8.859e+00,0.21,0.232,0.316,0.324
-8.856e+00,0.21,0.19,0.316,0.312
-8.852e+00,0.21,0.232,0.32,0.328
-8.848e+00,0.21,0.192,0.316,0.312
-8.844e+00,0.21,0.226,0.32,0.324
-8.840e+00,0.21,0.182,0.32,0.312
-8.836e+00,0.212,0.234,0.32,0.328
-8.833e+00,0.21,0.186,0.32,0.312
-8.829e+00,0.21,0.232,0.32,0.328
-8.825e+00,0.21,0.192,0.324,0.312
-8.821e+00,0.212,0.23,0.32,0.328
-8.817e+00,0.212,0.192,0.32,0.316
-8.813e+00,0.21,0.232,0.324,0.328
-8.810e+00,0.21,0.184,0.324,0.316
-8.806e+00,0.21,0.236,0.32,0.328
-8.802e+00,0.212,0.194,0.32,0.316
-8.798e+00,0.21,0.226,0.324,0.328
-8.794e+00,0.21,0.182,0.324,0.316
-8.790e+00,0.212,0.236,0.324,0.332
-8.786e+00,0.212,0.192,0.324,0.316
-8.783e+00,0.212,0.234,0.324,0.328
-8.779e+00,0.212,0.188,0.328,0.32
-8.775e+00,0.212,0.23,0.324,0.332
-8.771e+00,0.212,0.186,0.324,0.32
-8.767e+00,0.212,0.236,0.324,0.332
-8.763e+00,0.212,0.186,0.324,0.32
-8.760e+00,0.212,0.236,0.328,0.332
-8.756e+00,0.212,0.192,0.324,0.32
-8.752e+00,0.212,0.234,0.328,0.336
-8.748e+00,0.212,0.194,0.328,0.32
-8.744e+00,0.212,0.228,0.328,0.336
-8.740e+00,0.212,0.188,0.328,0.32
-8.737e+00,0.212,0.236,0.328,0.336
-8.733e+00,0.212,0.184,0.328,0.32
-8.729e+00,0.212,0.236,0.328,0.336
-8.725e+00,0.212,0.194,0.328,0.324
-8.721e+00,0.212,0.23,0.328,0.336
-8.717e+00,0.212,0.192,0.332,0.316
-8.714e+00,0.212,0.234,0.328,0.344
-8.710e+00,0.212,0.186,0.332,0.312
-8.706e+00,0.212,0.234,0.332,0.34
-8.702e+00,0.212,0.186,0.332,0.324
-8.698e+00,0.212,0.238,0.332,0.34
-8.694e+00,0.212,0.186,0.332,0.324
-8.690e+00,0.212,0.236,0.332,0.34
-8.687e+00,0.212,0.192,0.332,0.324
-8.683e+00,0.212,0.232,0.332,0.34
-8.679e+00,0.212,0.192,0.336,0.324
-8.675e+00,0.212,0.234,0.332,0.344
-8.671e+00,0.212,0.194,0.332,0.328
-8.667e+00,0.212,0.23,0.336,0.34
-8.664e+00,0.212,0.184,0.336,0.328
-8.660e+00,0.212,0.238,0.336,0.34
-8.656e+00,0.212,0.19,0.332,0.328
-8.652e+00,0.212,0.234,0.336,0.34
-8.648e+00,0.214,0.194,0.336,0.332
-8.644e+00,0.214,0.236,0.336,0.344
-8.641e+00,0.212,0.192,0.336,0.328
-8.637e+00,0.214,0.23,0.336,0.344
-8.633e+00,0.214,0.186,0.336,0.332
-8.629e+00,0.214,0.238,0.336,0.344
-8.625e+00,0.214,0.186,0.34,0.332
-8.621e+00,0.214,0.238,0.34,0.344
-8.618e+00,0.214,0.194,0.336,0.332
-8.614e+00,0.214,0.232,0.34,0.344
-8.610e+00,0.214,0.194,0.34,0.332
-8.606e+00,0.214,0.236,0.34,0.344
-8.602e+00,0.214,0.188,0.34,0.332
-8.598e+00,0.214,0.236,0.34,0.348
-8.594e+00,0.214,0.194,0.34,0.336
-8.591e+00,0.214,0.23,0.34,0.348
-8.587e+00,0.214,0.186,0.34,0.336
-8.583e+00,0.214,0.238,0.34,0.348
-8.579e+00,0.214,0.194,0.344,0.332
-8.575e+00,0.214,0.236,0.344,0.352
-8.571e+00,0.214,0.194,0.344,0.336
-8.568e+00,0.214,0.234,0.344,0.348
-8.564e+00,0.214,0.188,0.344,0.336
-8.560e+00,0.214,0.238,0.344,0.352
-8.556e+00,0.214,0.186,0.344,0.332
-8.552e+00,0.214,0.238,0.344,0.356
-8.548e+00,0.214,0.194,0.344,0.336
-8.545e+00,0.214,0.236,0.344,0.352
-8.541e+00,0.214,0.196,0.344,0.34
-8.537e+00,0.214,0.23,0.344,0.356
-8.533e+00,0.214,0.19,0.348,0.336
-8.529e+00,0.214,0.238,0.348,0.352
-8.525e+00,0.214,0.186,0.348,0.34
-8.522e+00,0.214,0.238,0.348,0.356
-8.518e+00,0.214,0.196,0.348,0.34
-8.514e+00,0.214,0.23,0.348,0.356
-8.510e+00,0.214,0.194,0.348,0.344
-8.506e+00,0.216,0.236,0.348,0.356
-8.502e+00,0.214,0.196,0.348,0.34
-8.498e+00,0.214,0.238,0.348,0.356
-8.495e+00,0.216,0.188,0.352,0.344
-8.491e+00,0.214,0.238,0.352,0.356
-8.487e+00,0.214,0.188,0.352,0.344
-8.483e+00,0.216,0.238,0.348,0.356
-8.479e+00,0.214,0.192,0.352,0.344
-8.475e+00,0.216,0.236,0.352,0.356
-8.472e+00,0.214,0.196,0.352,0.344
-8.468e+00,0.216,0.238,0.352,0.356
-8.464e+00,0.216,0.198,0.352,0.344
-8.460e+00,0.216,0.234,0.356,0.36
-8.456e+00,0.216,0.188,0.352,0.348
-8.452e+00,0.216,0.238,0.352,0.36
-8.449e+00,0.216,0.188,0.352,0.348
-8.445e+00,0.216,0.24,0.356,0.36
-8.441e+00,0.216,0.198,0.356,0.348
-8.437e+00,0.216,0.232,0.352,0.36
-8.433e+00,0.216,0.196,0.356,0.348
-8.429e+00,0.216,0.238,0.356,0.36
-8.425e+00,0.216,0.19,0.356,0.348
-8.422e+00,0.216,0.24,0.356,0.364
-8.418e+00,0.216,0.188,0.356,0.348
-8.414e+00,0.216,0.24,0.36,0.364
-8.410e+00,0.216,0.198,0.356,0.352
-8.406e+00,0.216,0.234,0.36,0.364
-8.402e+00,0.216,0.198,0.356,0.348
-8.399e+00,0.216,0.238,0.36,0.368
-8.395e+00,0.216,0.19,0.36,0.344
-8.391e+00,0.216,0.24,0.36,0.368
-8.387e+00,0.216,0.198,0.36,0.352
-8.383e+00,0.216,0.232,0.36,0.364
-8.379e+00,0.216,0.188,0.36,0.352
-8.376e+00,0.216,0.24,0.36,0.368
-8.372e+00,0.216,0.198,0.36,0.356
-8.368e+00,0.216,0.238,0.36,0.368
-8.364e+00,0.216,0.194,0.36,0.352
-8.360e+00,0.216,0.238,0.364,0.372
-8.356e+00,0.216,0.192,0.36,0.356
-8.353e+00,0.216,0.24,0.36,0.368
-8.349e+00,0.216,0.19,0.364,0.356
-8.345e+00,0.216,0.242,0.364,0.372
-8.341e+00,0.218,0.196,0.364,0.356
-8.337e+00,0.218,0.24,0.364,0.368
-8.333e+00,0.216,0.2,0.364,0.356
-8.329e+00,0.216,0.238,0.364,0.372
-8.326e+00,0.216,0.196,0.364,0.36
-8.322e+00,0.218,0.238,0.364,0.372
-8.318e+00,0.218,0.19,0.364,0.36
-8.314e+00,0.218,0.24,0.368,0.372
-8.310e+00,0.218,0.198,0.364,0.36
-8.306e+00,0.218,0.234,0.368,0.372
-8.303e+00,0.218,0.194,0.368,0.36
-8.299e+00,0.218,0.236,0.368,0.372
-8.295e+00,0.218,0.198,0.368,0.36
-8.291e+00,0.218,0.24,0.368,0.376
-8.287e+00,0.218,0.19,0.368,0.36
-8.283e+00,0.218,0.242,0.368,0.376
-8.280e+00,0.218,0.192,0.368,0.364
-8.276e+00,0.218,0.24,0.372,0.376
